question_id,section,subtopic,difficulty_tag,exam_tags,exam_tags_list,num_exam_tags
Q00001,Logical Reasoning,Puzzles,Hard,General,['General'],1
Q00002,Quantitative Aptitude,Averages,Easy,Placements,['Placements'],1
Q00003,Quantitative Aptitude,Compound Interest,Hard,"CAT,TCS NQT,General","['CAT', 'TCS NQT', 'General']",3
Q00004,Quantitative Aptitude,Progressions (AP/GP),Hard,"CAT,General","['CAT', 'General']",2
Q00005,Verbal Ability,Para Jumbles,Easy,Placements,['Placements'],1
Q00006,Quantitative Aptitude,Permutation & Combination,Medium,"CAT,TCS NQT,Placements","['CAT', 'TCS NQT', 'Placements']",3
Q00007,Logical Reasoning,Input-Output,Easy,Banking,['Banking'],1
Q00008,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,Placements","['CAT', 'Placements']",2
Q00009,Logical Reasoning,Input-Output,Medium,"SSC,Placements","['SSC', 'Placements']",2
Q00010,Logical Reasoning,Series Completion,Easy,"CAT,General","['CAT', 'General']",2
Q00011,Verbal Ability,Para Summary,Easy,SSC,['SSC'],1
Q00012,Verbal Ability,Fill in the Blanks,Medium,"SSC,CAT,Banking","['SSC', 'CAT', 'Banking']",3
Q00013,Quantitative Aptitude,Probability,Medium,Banking,['Banking'],1
Q00014,Quantitative Aptitude,Profit & Loss,Medium,"SSC,TCS NQT,General","['SSC', 'TCS NQT', 'General']",3
Q00015,Logical Reasoning,Series Completion,Easy,"CAT,General,Placements","['CAT', 'General', 'Placements']",3
Q00016,Quantitative Aptitude,Mixtures & Alligations,Easy,Placements,['Placements'],1
Q00017,Quantitative Aptitude,Simple Interest,Easy,"SSC,Banking","['SSC', 'Banking']",2
Q00018,Verbal Ability,Cloze Test,Medium,"Placements,SSC","['Placements', 'SSC']",2
Q00019,Quantitative Aptitude,Linear Equations,Medium,General,['General'],1
Q00020,Quantitative Aptitude,Averages,Hard,"General,CAT,Placements","['General', 'CAT', 'Placements']",3
Q00021,Verbal Ability,Idioms & Phrases,Easy,"Placements,General,Banking","['Placements', 'General', 'Banking']",3
Q00022,Verbal Ability,Para Summary,Easy,"General,TCS NQT","['General', 'TCS NQT']",2
Q00023,Logical Reasoning,Statement & Assumption,Easy,"SSC,CAT,Placements","['SSC', 'CAT', 'Placements']",3
Q00024,Quantitative Aptitude,Percentages,Easy,"Banking,SSC","['Banking', 'SSC']",2
Q00025,Quantitative Aptitude,Profit & Loss,Easy,TCS NQT,['TCS NQT'],1
Q00026,Data Interpretation,Mixed DI Sets,Medium,General,['General'],1
Q00027,Quantitative Aptitude,Trigonometry,Medium,"General,Banking","['General', 'Banking']",2
Q00028,Verbal Ability,Synonyms & Antonyms,Medium,"Placements,General","['Placements', 'General']",2
Q00029,Logical Reasoning,Statement & Conclusion,Medium,"TCS NQT,Banking,General","['TCS NQT', 'Banking', 'General']",3
Q00030,Quantitative Aptitude,Linear Equations,Medium,Placements,['Placements'],1
Q00031,Data Interpretation,Venn-based DI,Easy,"CAT,General","['CAT', 'General']",2
Q00032,Quantitative Aptitude,Simple Interest,Easy,General,['General'],1
Q00033,Quantitative Aptitude,Time & Work,Easy,"Banking,TCS NQT,CAT","['Banking', 'TCS NQT', 'CAT']",3
Q00034,Verbal Ability,Para Summary,Easy,"TCS NQT,Banking","['TCS NQT', 'Banking']",2
