question_id,n_attempts,discrimination_index,p_value,correct_rate,avg_time_sec,flag,section,subtopic,difficulty_tag
Q05309,10,-0.8932,0.0005,0.1,74.9,negative_discrimination,Quantitative Aptitude,Simple Interest,Hard
Q08487,10,-0.838,0.002467,0.9,27.1,negative_discrimination,Verbal Ability,Para Jumbles,Easy
Q06038,10,-0.8289,0.003036,0.7,25.6,negative_discrimination,Logical Reasoning,Ranking & Order,Easy
Q05072,12,-0.8277,0.000888,0.5833,49.7,negative_discrimination,Data Interpretation,Pie Charts,Medium
Q02888,10,-0.7932,0.006178,0.4,52.8,negative_discrimination,Quantitative Aptitude,Geometry,Medium
Q10123,10,-0.7918,0.006343,0.3,61.2,negative_discrimination,Quantitative Aptitude,Logarithms,Medium
Q00533,11,-0.7836,0.004324,0.1818,94.1,negative_discrimination,Logical Reasoning,Clocks & Calendars,Hard
Q04792,11,-0.7734,0.005234,0.4545,106.6,negative_discrimination,Data Interpretation,Caselets,Hard
Q08812,11,-0.754,0.007349,0.3636,107.5,negative_discrimination,Verbal Ability,Idioms & Phrases,Hard
Q08231,11,-0.7477,0.008149,0.5455,28.1,negative_discrimination,Verbal Ability,Critical Reasoning,Easy
Q02202,12,-0.7475,0.005198,0.5833,63.1,negative_discrimination,Quantitative Aptitude,Algebra,Medium
Q05597,10,-0.7418,0.014054,0.6,54.7,negative_discrimination,Quantitative Aptitude,Linear Equations,Medium
Q06668,12,-0.7241,0.007747,0.5833,52.2,negative_discrimination,Logical Reasoning,Venn Diagrams,Medium
Q08495,13,-0.7233,0.005203,0.3077,81.5,negative_discrimination,Verbal Ability,Para Jumbles,Hard
Q00863,12,-0.723,0.007886,0.8333,33.9,negative_discrimination,Quantitative Aptitude,Profit & Loss,Easy
Q01099,13,-0.7191,0.005606,0.5385,62.7,negative_discrimination,Logical Reasoning,Syllogisms,Medium
Q08898,11,-0.7189,0.012663,0.6364,89.5,negative_discrimination,Verbal Ability,Para Jumbles,Hard
Q01549,10,-0.7172,0.019555,0.3,86.9,negative_discrimination,Quantitative Aptitude,Pipes & Cisterns,Hard
Q02690,11,-0.7054,0.015303,0.5455,31.8,negative_discrimination,Quantitative Aptitude,Profit & Loss,Easy
Q01487,10,-0.702,0.023634,0.4,31.5,negative_discrimination,Verbal Ability,Critical Reasoning,Easy
Q10037,10,-0.6947,0.025771,0.5,73.0,negative_discrimination,Verbal Ability,Reading Comprehension,Medium
Q06779,11,-0.6937,0.017899,0.6364,44.5,negative_discrimination,Quantitative Aptitude,Probability,Medium
