user_id,question_id,section,subtopic,difficulty_tag,reason,priority
U00001,Q00039,Quantitative Aptitude,Number System,Easy,Weak area: Number System (accuracy: 0%),12.0
U00001,Q00547,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 0%),12.0
U00001,Q00116,Quantitative Aptitude,Number System,Easy,Weak area: Number System (accuracy: 0%),12.0
U00001,Q00331,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 0%),12.0
U00001,Q00392,Quantitative Aptitude,Number System,Easy,Weak area: Number System (accuracy: 0%),12.0
U00001,Q00950,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 0%),12.0
U00001,Q00793,Quantitative Aptitude,Number System,Easy,Weak area: Number System (accuracy: 0%),12.0
U00001,Q01012,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 0%),12.0
U00001,Q00088,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 0%)",12.0
U00001,Q00050,Verbal Ability,Cloze Test,Easy,Weak area: Cloze Test (accuracy: 0%),12.0
U00001,Q00534,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 0%)",12.0
U00001,Q00279,Verbal Ability,Cloze Test,Easy,Weak area: Cloze Test (accuracy: 0%),12.0
U00001,Q00601,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 0%)",12.0
U00001,Q00474,Verbal Ability,Cloze Test,Easy,Weak area: Cloze Test (accuracy: 0%),12.0
U00001,Q00952,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 0%)",12.0
U00001,Q00357,Verbal Ability,Cloze Test,Easy,Weak area: Cloze Test (accuracy: 0%),12.0
U00001,Q00139,Quantitative Aptitude,Quadratic Equations,Easy,Weak area: Quadratic Equations (accuracy: 8%),11.155788035556805
U00001,Q00180,Quantitative Aptitude,Quadratic Equations,Easy,Weak area: Quadratic Equations (accuracy: 8%),11.155788035556805
U00001,Q01155,Quantitative Aptitude,Quadratic Equations,Easy,Weak area: Quadratic Equations (accuracy: 8%),11.155788035556805
U00001,Q01346,Quantitative Aptitude,Quadratic Equations,Easy,Weak area: Quadratic Equations (accuracy: 8%),11.155788035556805
U00002,Q01159,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00002,Q01098,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00002,Q01870,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00002,Q01951,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00002,Q00023,Logical Reasoning,Statement & Assumption,Easy,Weak area: Statement & Assumption (accuracy: 0%),12.0
U00002,Q00373,Logical Reasoning,Statement & Assumption,Easy,Weak area: Statement & Assumption (accuracy: 0%),12.0
U00002,Q01174,Logical Reasoning,Statement & Assumption,Easy,Weak area: Statement & Assumption (accuracy: 0%),12.0
